FirstName,LastName,Height,Weight,Age,Position,College,Experience,Team,InsideScoring,Jumpshot,3P,Handling,Passing,Quickness,PostD,PerimeterD,DriveD,Stealing,Blocking,Oreb,Dreb,Jumping,Strength,Potential,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7
 
Paul,Pierce,78,230,29,SG,Kansas,7,Celtics,72,69,72,32,56,82,54,57,52,60,22,20,60,96,65,52,13843157,15101626,16360095,0,0,0,0
Delonte,West,76,180,23,PG,Saint Joseph's,1,Celtics,42,77,79,71,60,76,40,50,55,60,38,19,39,61,44,71,1010040,1080480,1889759,2762828,0,0,0
Raef,LaFrentz,83,245,30,PF,Kansas,7,Celtics,46,60,80,68,37,41,54,18,54,37,58,29,59,45,74,48,9996250,10905000,11813750,12722500,0,0,0
Wally,Szczerbiak,79,244,29,SF,Miami (Ohio),6,Celtics,65,82,82,59,44,66,39,35,30,38,14,23,35,63,57,60,10000000,11000000,12000000,13000000,0,0,0
Al,Jefferson,82,265,21,PF,Prentiss HS (MS),1,Celtics,65,56,5,45,17,46,56,32,59,53,61,63,67,61,82,94,1512840,1618320,2480884,3468276,0,0,0
Ryan,Gomes,79,250,24,SF,Providence,0,Celtics,49,67,5,57,22,56,51,46,43,53,18,52,54,62,69,92,398762,664209,0,0,0,0,0
Tony,Allen,76,213,24,SG,Oklahoma State,1,Celtics,49,67,34,48,27,68,33,54,61,71,28,24,33,77,49,77,969600,1037280,1868141,2744299,0,0,0
Kendrick,Perkins,82,280,22,C,Clifton J. Ozen HS (TX),2,Celtics,55,54,5,40,25,37,61,18,70,41,77,73,71,49,91,82,936480,1689409,2087829,0,0,0,0
Orien,Greene,76,208,24,SG,Louisiana-Lafayette,0,Celtics,38,58,22,40,37,57,29,56,64,78,18,23,35,63,49,76,398762,664209,770610,0,0,0,0
Brian,Scalabrine,81,235,28,PF,USC,4,Celtics,41,64,53,52,23,41,48,21,50,49,50,34,44,49,65,60,2586207,2793103,3000000,3206897,3413793,0,0
Gerald,Green,80,200,20,SG,Gulf Shores Academy (TX),0,Celtics,44,70,23,50,17,66,33,48,51,59,19,20,32,68,47,99,1253040,1347000,1440960,2216196,3144782,0,0
Dan,Dickau,72,190,28,PG,Gonzaga,3,Celtics,36,92,45,64,26,75,22,50,52,62,9,14,24,53,37,58,2250000,0,0,0,0,0,0
Michael,Olowokandi,84,270,31,C,U. of Pacific,7,Celtics,53,43,5,45,14,37,60,24,62,48,66,50,67,43,87,54,5949570,0,0,0,0,0,0
Dwayne,Jones,83,250,23,C,Saint Joseph's,0,Celtics,46,38,5,55,7,36,61,12,59,40,64,58,59,49,78,90,398762,664209,0,0,0,0,0
Dwyane,Wade,76,212,24,PG,Marquette,2,Heat,95,70,26,47,72,98,46,67,68,75,40,30,46,100,51,84,3031920,3841442,5093752,0,0,0,0
Shaquille,O'Neal,85,325,34,C,Louisiana State,13,Heat,89,39,5,29,32,48,66,14,66,38,73,68,74,67,100,49,20000000,20000000,20000000,20000000,20000000,0,0
Antoine,Walker,81,245,30,SF,Kentucky,9,Heat,49,55,74,46,43,61,52,27,40,46,27,37,59,55,71,48,7000000,7773500,8547000,9320500,10094000,10867500,0
Udonis,Haslem,80,235,26,PF,Florida,2,Heat,59,71,5,63,28,42,55,25,20,44,14,49,69,49,78,59,5000000,5525000,6050000,6575000,7100000,0,0
Jason,Williams,73,190,31,PG,Florida,7,Heat,43,79,77,74,54,81,27,56,46,55,6,5,29,49,40,54,7562500,8250000,8937500,0,0,0,0
Gary,Payton,76,180,38,PG,Oregon State,15,Heat,40,71,57,78,52,68,30,54,46,56,9,12,35,49,42,49,1138500,0,0,0,0,0,0
Alonzo,Mourning,82,261,36,C,Georgetown,12,Heat,63,51,5,41,10,42,72,15,82,36,93,68,66,67,84,49,1138500,0,0,0,0,0,0
James,Posey,80,215,29,SF,Xavier (Ohio),6,Heat,37,71,83,65,27,52,46,35,45,54,23,18,58,53,66,59,5900400,6392100,0,0,0,0,0
Jason,Kapono,80,213,25,SF,UCLA,2,Heat,37,77,59,65,23,57,34,20,39,44,21,22,40,56,55,70,1000000,1080000,0,0,0,0,0
Wayne,Simien,81,250,23,SF,Kansas,0,Heat,42,80,5,45,10,56,38,31,45,56,19,42,39,59,60,82,867720,932760,997800,1801029,2701543,0,0
Derek,Anderson,77,195,32,SG,Kentucky,8,Heat,37,76,61,60,35,66,36,36,45,51,15,17,43,69,52,49,1670000,1803600,0,0,0,0,0
Shandon,Anderson,78,215,33,SF,Georgia,9,Heat,40,64,13,58,21,53,38,33,47,55,26,27,42,55,58,51,1035000,0,0,0,0,0,0
Michael,Doleac,83,262,29,C,Utah,7,Heat,47,72,5,53,10,38,58,18,56,48,58,53,60,45,82,50,2640000,2880000,3120000,0,0,0,0
Dorell,Wright,80,205,21,SF,South Kent Prep HS (Lawndale CA),1,Heat,41,80,16,42,14,60,48,38,44,52,25,23,48,62,60,98,1032200,1104300,1700622,2425086,0,0,0
Earl,Barron,84,245,25,C,Memphis,0,Heat,45,45,5,36,5,38,54,16,52,34,51,35,37,40,65,73,641748,0,0,0,0,0,0
Matt,Walsh,78,200,24,SF,Florida,0,FA,49,45,5,28,5,65,33,43,37,40,17,17,23,59,45,89,0,0,0,0,0,0,0
Vince,Carter,78,220,29,SG,North Carolina,7,Nets,70,72,70,48,54,81,47,45,53,57,36,37,46,94,57,53,13843157,15101626,16360095,0,0,0,0
Richard,Jefferson,79,225,26,SF,Arizona,4,Nets,63,73,61,56,48,66,49,39,34,43,11,25,58,78,68,74,10200000,11200000,12200000,13200000,14200000,15000000,0
Nenad,Krstic,84,240,23,C,Serbia & Montenegro,1,Nets,72,62,5,49,27,45,51,8,47,36,50,54,50,47,72,88,1010040,1080480,1889759,2762828,0,0,0
Jason,Kidd,76,210,33,PG,California,13,Nets,46,72,72,77,84,74,55,78,64,75,19,23,50,60,63,49,16440000,18084000,19728000,21372000,0,0,0
Clifford,Robinson,82,240,40,PF,Connecticut,16,Nets,48,58,65,63,27,42,49,23,47,49,47,28,46,47,67,49,2500000,2500000,0,0,0,0,0
Jacque,Vaughn,73,190,31,PG,Kansas,8,Nets,41,65,5,74,37,70,20,44,50,60,5,12,26,51,38,51,1000000,0,0,0,0,0,0
Jason,Collins,84,255,28,C,Stanford,4,Nets,44,43,6,62,23,28,51,25,51,49,52,42,52,38,76,66,5500000,5800000,6100000,6200000,0,0,0
Scott,Padgett,81,240,30,PF,Kentucky,6,Nets,41,71,62,67,24,43,53,36,50,59,47,55,57,50,73,48,1670000,1803600,0,0,0,0,0
Lamond,Murray,79,235,33,SF,California,10,Nets,37,55,55,52,14,58,48,35,48,56,29,38,62,60,72,48,1138500,0,0,0,0,0,0
Zoran,Planinic,79,200,24,SF,Croatia,2,Nets,38,74,32,48,29,59,33,45,48,59,23,25,43,62,55,89,939400,1545313,2237613,0,0,0,0
Jeff,McInnis,76,179,32,PG,North Carolina,8,FA,55,61,13,62,27,74,28,53,45,55,9,16,30,52,39,48,0,0,0,0,0,0,0
Antoine,Wright,79,210,22,SG,Texas A&M,0,Nets,49,42,5,48,14,58,31,32,41,48,17,16,25,65,44,83,1461360,1570920,1680600,2576359,3601751,0,0
Bostjan,Nachbar,81,221,26,SF,Slovenia,3,Nets,39,60,48,54,23,56,40,36,49,58,27,21,43,61,59,61,2500000,2500000,2500000,0,0,0,0
Derrick,Zimmerman,75,195,25,PG,Mississippi State,0,FA,63,45,5,51,30,67,24,34,40,43,6,10,19,46,35,64,0,0,0,0,0,0,0
John,Thomas,81,265,31,C,N/A,4,Nets,46,45,5,46,6,35,54,16,57,45,59,52,46,42,74,51,85680,0,0,0,0,0,0
Jamal,Crawford,77,190,26,SG,Michigan,5,Knicks,52,75,70,51,54,71,32,61,50,59,12,11,34,74,46,67,6480000,7200000,7920000,8640000,9360000,10080000,0
Eddy,Curry,83,285,24,C,Thornwood HS (IL),4,Knicks,75,55,5,21,12,46,55,16,54,40,58,58,59,66,84,84,7390000,0,0,0,0,0,0
Stephon,Marbury,74,205,29,PG,Georgia Tech,9,Knicks,69,67,54,61,72,85,26,51,44,54,5,9,28,64,40,54,16453125,18281250,20109375,21937500,0,0,0
Channing,Frye,83,248,23,PF,Arizona,0,Knicks,76,75,5,45,21,50,55,17,52,45,54,62,56,63,74,89,2162880,2325000,2487240,3163769,4264760,0,0
Nate,Robinson,69,180,22,SG,Washington,0,Knicks,40,67,75,47,39,75,19,46,51,63,5,27,30,69,43,86,1102680,1185480,1268160,2020178,2911077,0,0
Quentin,Richardson,78,230,26,SF,DePaul,5,Knicks,41,59,69,61,29,57,40,36,44,54,18,35,46,57,62,70,6858500,7482000,8105500,8825750,9352500,0,0
Maurice,Taylor,81,265,30,PF,Michigan,7,Knicks,59,62,5,36,23,44,47,23,40,44,38,43,53,50,74,50,9100000,9750000,0,0,0,0,0
David,Lee,81,249,23,PF,Florida,0,Knicks,59,50,5,53,21,43,57,26,47,52,46,65,62,56,77,84,861360,926040,990600,1788033,2682049,0,0
Jalen,Rose,80,215,33,SF,Michigan,11,Knicks,47,70,65,55,38,63,37,28,35,43,17,16,39,70,56,49,15694250,16901500,0,0,0,0,0
Qyntel,Woods,80,220,25,SG,Northeast Mississippi CC,3,Knicks,49,56,55,47,24,61,46,44,51,58,23,30,51,68,59,81,745248,0,0,0,0,0,0
Malik,Rose,79,255,32,PF,Drexel,9,Knicks,47,70,16,44,28,42,51,35,43,60,40,54,58,57,76,51,6008750,6555000,7101250,0,0,0,0
Jackie,Butler,82,260,21,C,Coastal Christian Academy (VA),1,Knicks,54,67,5,38,16,42,51,22,64,47,68,66,61,49,81,99,641748,0,0,0,0,0,0
Steve,Francis,75,200,29,PG,N/A,7,Knicks,63,71,45,46,63,82,31,43,48,56,14,25,37,77,45,54,13770000,15070000,16440000,17180000,0,0,0
Jerome,James,85,272,31,C,Florida A&M,5,Knicks,50,55,5,27,12,38,50,13,64,37,71,56,48,48,77,50,5000000,5400000,5800000,6200000,6600000,0,0
